State/UnionTerritory,Active Cases,Confirmed,Cured,Deaths,Recovery Rate,Mortality Rate
Andaman and Nicobar Islands,1154,7548,7412,129,98.1981981981982,1.7090620031796504
Andhra Pradesh,211554,1985182,1952736,13564,98.3655906612089,0.6832622903088986
Arunachal Pradesh,4465,50605,47821,248,94.49856733524355,0.49007015117083286
Assam,56295,576149,559684,5420,97.14223230449068,0.9407288739544806
Bihar,115152,725279,715352,9646,98.63128533984853,1.3299709491106182
Bihar****,5044,715730,701234,9452,97.97465524709038,1.3206097271317396
Cases being reassigned to states,9265,9265,0,0,0.0,0.0
Chandigarh,8653,61992,61150,811,98.64176022712608,1.3082333204284424
Chhattisgarh,131245,1003356,988189,13544,98.4883730201444,1.3498698368276065
Dadra and Nagar Haveli,250,10377,10261,4,98.88214320131058,0.03854678616170377
Dadra and Nagar Haveli and Daman and Diu,2081,10654,10646,4,99.92491083161254,0.03754458419373005
Daman & Diu,2,2,0,0,0.0,0.0
Delhi,103424,1436852,1411280,25068,98.2202759922386,1.744647326238193
Goa,32953,172085,167978,3164,97.61338873231253,1.8386262602783507
Gujarat,148297,825085,814802,10077,98.75370416381342,1.221328711587291
Haryana,116867,770114,759790,9652,98.65941925481162,1.2533209369002511
Himachal Pradesh,40008,208616,202761,3537,97.19340798404724,1.6954596004141582
Himanchal Pradesh,969,204516,200040,3507,97.8114181775509,1.7147802616910168
Jammu and Kashmir,52848,322771,317081,4392,98.23714026353049,1.36071704087418
Jharkhand,61195,347440,342102,5130,98.46361961777573,1.4765139304628137
Karanataka,27550,2885238,2821491,36197,97.79058088102263,1.2545585494160274
Karnataka,605515,2921049,2861499,36848,97.96134881681205,1.2614646313704425
Kerala,445692,3586693,3396184,18004,94.68844977811037,0.5019665747807242
Ladakh,2041,20411,20130,207,98.62329136250061,1.0141590318945666
Lakshadweep,2320,10263,10165,51,99.04511351456689,0.4969307220111079
Madhya Pradesh,111366,791980,781330,10514,98.65526907245132,1.3275587767367862
Madhya Pradesh***,415,791656,780735,10506,98.620486676031,1.3270915650231918
Maharashtra,701614,6363442,6159676,134201,96.79786505479268,2.1089372701126217
Maharashtra***,97932,6229596,6000911,130753,96.32905568836246,2.0989001533967855
Manipur,10922,105424,96776,1664,91.79693428441341,1.5783882227955686
Meghalaya,8255,69769,64157,1185,91.95631297567688,1.6984620676804885
Mizoram,13101,46320,33722,171,72.80224525043178,0.36917098445595853
Nagaland,5049,28811,26852,585,93.20051369268683,2.0304744715560026
Odisha,106493,988997,972710,6565,98.3531800399799,0.6638038335808906
Puducherry,18277,121766,119115,1800,97.82287338008967,1.478245158747105
Punjab,79963,599573,582791,16322,97.20100805072943,2.722270682635809
Rajasthan,212753,953851,944700,8954,99.04062584198161,0.9387210371431177
Sikkim,4306,28018,25095,356,89.56742094367907,1.2706117495895497
Tamil Nadu,313048,2579130,2524400,34367,97.8779666011407,1.3325035961739036
Telangana,80695,650353,638410,3831,98.16361268418842,0.5890647079355366
Telengana,78888,443360,362160,2312,81.68531216167449,0.5214723926380368
Tripura,8302,80660,77811,773,96.46788990825688,0.9583436647656831
Unassigned,77,77,0,0,0.0,0.0
Uttar Pradesh,310783,1708812,1685492,22775,98.63530920897091,1.3327972884085553
Uttarakhand,80000,342462,334650,7368,97.71887099882615,2.1514795802161992
West Bengal,132181,1534999,1506532,18252,98.14547110454144,1.1890561492222471
